danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.601,0.399,1,-10.84,1,0.377,0.137,0,0.119,0.498,79.091,61048,TRUE,0,It's Still Late,Kafime,3Hro7PiHmcF2BzExHqIemK
0.564,0.313,1,-7.71,1,0.121,0.263,0,0.355,0.05,108.255,61048,TRUE,0,Mind on You,Kafime,5SaOqUWLZCzeIFT1Z0szah
0.858,0.581,0,-7.057,1,0.0447,0.00741,4.80E-05,0.0998,0.407,126.971,61048,TRUE,0,Eat It Up,Kafime,1t01epTJa5yA4ekvDAKUUn
0.729,0.505,6,-8.568,1,0.187,0.0538,1.79E-06,0.0843,0.518,77.993,61048,TRUE,0,Done On That,Kafime,1MLmd66qcnEVvnmbe7EUF2
0.488,0.617,7,-10.377,0,0.0847,0.704,2.91E-05,0.493,0.584,74.954,61048,TRUE,0,Down Bassline,Kafime,0pZQj9Mz4wj2iSdg9VvtMk
0.557,0.53,10,-10.767,0,0.0434,0.0891,1.04E-05,0.117,0.0692,79.966,61048,TRUE,0,Core Of Me,Kafime,1SV6E7pzZRXQ5nsVGGd5FC
0.705,0.321,1,-14.128,1,0.0936,0.0984,0,0.105,0.302,119.856,61048,TRUE,0,Take That Away,Kafime,1zvP1tEg5iBVnwQdtreDWf
0.694,0.225,4,-14.548,0,0.0834,0.335,0,0.119,0.117,90.199,61048,TRUE,0,Hop in Started,Kafime,03hgKERwp91bQ7A6pzZ0bF
0.687,0.318,11,-12.92,0,0.281,0.453,0.000229,0.36,0.581,134.984,61048,TRUE,0,Above It All,Kafime,7mRRZRRn7YuLBgPGeoEoiy
0.785,0.418,10,-13.107,0,0.51,0.0424,0,0.0824,0.379,159.919,61048,TRUE,0,Surpassed It,Kafime,0d0NHQ3sUwc9bZbWbxmJQx
0.833,0.496,7,-7.699,1,0.348,0.0245,1.78E-06,0.0968,0.609,164.147,61048,TRUE,0,Beating Him Out,Kafime,2LZwOH1icVVJx2WmH0aWfy
0.731,0.417,1,-11.188,1,0.0584,0.297,0,0.0773,0.423,119.938,61048,TRUE,0,Fall Off,Kafime,4WjTPepn1FhoIFkfDvHAeJ
0.814,0.575,1,-9.223,1,0.0561,0.0504,1.04E-05,0.095,0.437,125.927,61048,TRUE,0,Not Looking Good,Kafime,5iuhdXQHbXl3KqdUbHU8hG
0.803,0.391,8,-13.11,0,0.253,0.375,0,0.213,0.725,136.115,61048,TRUE,0,Being On The Foot Of It,Kafime,0CMTeY5jp27IhycDeC1OiN
0.899,0.544,1,-9.829,1,0.379,0.0266,0,0.102,0.547,130.165,268776,FALSE,0,Show you the way,Yvng 7,5H8mvvhB9G97vuqQjUfr53
0.554,0.939,2,-7.44,1,0.0425,0.0188,0.88,0.091,0.181,125.012,320640,FALSE,0,Digital choice,Talamaur,7kPhKIZ8P7eZQZMIw7WzDe
0.488,0.343,1,-14.357,0,0.463,0.801,0,0.0677,0.517,81.262,223500,TRUE,2,Anybody,Blockos,4WtFHeLeFBl1yxRBzzYv4H
0.73,0.787,1,-6.858,1,0.597,0.03,0.158,0.254,0.743,159.974,84008,TRUE,1,napalm,AC3!,0iweZVTbk6VXjCYPqmW766
0.71,0.562,1,-9.483,1,0.287,0.283,0,0.122,0.575,149.912,129600,TRUE,0,Frostbite,PROZVC,3jQt2r2QsogeKQ2gYNXw4K
0.319,0.572,0,-9.011,1,0.0332,0.895,0.00628,0.178,0.341,105.843,346253,FALSE,0,Kiss the Ground Kind of Day - Remastered Version,Ebenlo,7skr1HFvG6yOe91I34kyqf
0.703,0.692,8,-10.325,0,0.0858,0.0148,0.725,0.061,0.362,169.04,132073,FALSE,1,Luxury,Metzger Beats,36cM4HUumiEEIq4zREJxBW
0.756,0.234,9,-19.078,0,0.0414,0.763,0,0.109,0.311,160.044,310766,FALSE,0,Letting It Grow,Eric C Lyden,0Yf3hZKZpdG6fPiyupnIO8
0.713,0.558,1,-8.674,1,0.451,0.221,0,0.145,0.545,98.447,110194,TRUE,1,NAH,Yonny,5DWwDZdJIYPoumT26ECENh
0.376,0.405,10,-12.776,1,0.17,0.514,2.62E-06,0.0765,0.276,168.058,196071,FALSE,0,Little Princess,OD ObviouslyDifferent,6j3NRpGWOaptbdC5kXHSN1
0.54,0.508,0,-5.322,1,0.0272,0.788,0,0.136,0.376,87.924,175309,FALSE,1,HOME,RWE REA,5nMn6dxixXkngLCH8V9wMK
0.361,0.322,5,-9.937,1,0.0371,0.792,0,0.139,0.269,174.759,230237,FALSE,1,My Kinda Crazy (Live),Chris Hawkey,0FJ0PPNAotyE5R57wxW7PS
0.547,0.39,1,-8.731,1,0.0307,0.837,0,0.0987,0.625,126.218,238304,FALSE,1,Favorite Song (Live),Chris Hawkey,17rYdLzuQEcn5tcF8hpQcp
0.472,0.353,2,-9.42,1,0.0383,0.798,0,0.101,0.377,185.871,227108,FALSE,1,Good Liar (Live),Chris Hawkey,4JGZw020d1UUXA0E7u0mhG
0.65,0.223,5,-11.328,1,0.028,0.871,0,0.125,0.385,98.255,249048,FALSE,1,Empty Bar (Live),Chris Hawkey,2uk97ZsipnwakplO9ffqop
0.476,0.29,2,-12.733,1,0.0326,0.818,1.98E-06,0.199,0.528,164.346,200252,FALSE,1,Little Dance (Live),Chris Hawkey,2wnuuySWZky1hSrboClDlc
0.549,0.346,11,-10.155,1,0.0332,0.818,1.06E-06,0.0971,0.426,76.587,200416,FALSE,1,Northern Lights (Live),Chris Hawkey,329rKtxXnVRdXvL1L2JZId
0.395,0.237,7,-12.254,1,0.0421,0.885,0,0.122,0.264,186.305,191456,FALSE,1,One Day (Live),Chris Hawkey,5YR5x32Vh3w9ShNvt4PDQq
0.663,0.383,4,-9.616,1,0.0284,0.837,0,0.206,0.288,128.123,218232,FALSE,1,Summer Burn (Live),Chris Hawkey,3tjfT7tho5CoHchikYOaa0
0.584,0.321,9,-12.634,1,0.0333,0.888,0,0.129,0.32,81.936,203110,FALSE,0,Town Drunk (Live),Chris Hawkey,3CmnBynev1X3Hl6wikwgt9
0.375,0.332,3,-10.091,1,0.0373,0.841,0,0.134,0.407,187.33,237571,FALSE,1,The Underdog (Live),Chris Hawkey,5sz5gSBW4oSPvUClcNcyJK
